"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     
          0,           0,         236,      -9.722274989,      -9.846603431,      -9.858016589,      -9.182076051
          0,           0,         237,      -9.722268194,      -9.846511066,      -9.857869969,      -9.182108844
          0,           0,         238,      -9.722261414,      -9.846420804,      -9.857726472,      -9.182140066
          0,           0,         239,      -9.722254645,      -9.846332598,      -9.857586028,      -9.182169766
          0,           0,         240,      -9.722247887,      -9.846246398,      -9.857448571,      -9.182198001
          0,           0,         241,      -9.722241144,      -9.846162154,      -9.857314031,      -9.182224815
          0,           0,         242,      -9.722234418,       -9.84607982,      -9.857182345,       -9.18225026
          0,           0,         243,      -9.722227714,      -9.845999348,       -9.85705345,      -9.182274377
          0,           0,         244,      -9.722221033,      -9.845920695,      -9.856927285,      -9.182297219
          0,           0,         245,      -9.722214377,      -9.845843817,       -9.85680379,      -9.182318828
          0,           0,         246,      -9.722207748,      -9.845768672,      -9.856682908,      -9.182339255
          0,           0,         247,      -9.722201147,      -9.845695218,      -9.856564583,      -9.182358546
          0,           0,         248,      -9.722194569,      -9.845623418,      -9.856448757,      -9.182376751
          0,           0,         249,      -9.722188005,      -9.845553236,      -9.856335388,      -9.182393809
          0,           0,         250,       -9.72218147,      -9.845484621,      -9.856224402,      -9.182409893
          0,           0,         251,      -9.722174969,      -9.845417537,      -9.856115756,      -9.182425034
          0,           0,         252,      -9.722168515,      -9.845351947,      -9.856009392,      -9.182439312
          0,           0,         253,      -9.722162105,      -9.845287822,      -9.855905268,      -9.182452712
          0,           0,         254,      -9.722155743,      -9.845225124,      -9.855803335,      -9.182465278
          0,           0,         255,      -9.722149441,      -9.845163819,       -9.85570354,      -9.182477091
          0,           0,         256,      -9.722143201,      -9.845103875,      -9.855605842,      -9.182488187
          0,           0,         257,      -9.722137026,      -9.845045261,      -9.855510197,      -9.182498587
          0,           0,         258,      -9.722130918,      -9.844987947,      -9.855416564,      -9.182508313
          0,           0,         259,      -9.722124882,      -9.844931902,      -9.855324899,      -9.182517394
          0,           0,         260,       -9.72211894,      -9.844877087,       -9.85523515,      -9.182525953
          0,           0,         261,      -9.722113112,      -9.844823472,      -9.855147271,      -9.182534139
          0,           0,         262,      -9.722107386,      -9.844771046,      -9.855061247,      -9.182541836
          0,           0,         263,      -9.722101757,      -9.844719779,      -9.854977035,      -9.182549054
          0,           0,         264,      -9.722096215,      -9.844669648,      -9.854894603,      -9.182555795
          0,           0,         265,      -9.722090755,      -9.844620626,      -9.854813913,      -9.182562048
          0,           0,         266,      -9.722085371,      -9.844572688,      -9.854734931,      -9.182567807
          0,           0,         267,      -9.722080065,      -9.844525806,      -9.854657615,      -9.182573115
          0,           0,         268,      -9.722074848,      -9.844479951,      -9.854581924,      -9.182578064
          0,           0,         269,      -9.722069715,      -9.844435104,      -9.854507828,      -9.182582653
          0,           0,         270,      -9.722064663,      -9.844391244,      -9.854435297,      -9.182586888
          0,           0,         271,      -9.722059686,      -9.844348349,      -9.854364299,      -9.182590765
          0,           0,         272,      -9.722054779,      -9.844306398,      -9.854294803,      -9.182594283
          0,           0,         273,      -9.722049939,      -9.844265369,      -9.854226777,      -9.182597447
          0,           0,         274,      -9.722045164,       -9.84422524,      -9.854160189,      -9.182600259
